PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
91,0,3,male,53.5,0,0,21.5,C
92,1,3,female,24.6,0,1,4.0,S
93,0,1,male,32.5,1,0,72.34,S
94,0,3,male,49.3,0,0,23.93,S
95,0,3,male,8.6,0,0,5.11,S
96,0,3,male,13.5,1,0,10.34,S
97,0,3,male,8.6,1,0,7.73,S
98,0,2,male,19.9,0,0,20.21,S
99,0,2,male,37.2,1,0,32.91,C
100,1,2,female,38.3,0,1,39.98,S
101,1,3,female,34.9,0,0,25.86,Q
102,1,3,female,11.2,1,0,10.65,S
103,0,3,male,1.0,0,0,26.34,S
104,1,2,female,31.8,1,1,22.54,S
105,1,1,female,24.4,0,0,93.67,S
106,1,3,female,37.4,1,1,12.35,S
107,0,3,male,40.8,0,0,13.92,S
108,0,1,male,32.9,0,0,79.43,Q
109,0,1,male,41.6,0,0,92.12,S
110,1,3,female,34.2,0,0,18.96,S
111,0,1,male,38.4,1,1,109.74,S
112,0,3,male,21.1,0,0,19.78,S
113,0,2,male,,0,0,36.13,S
114,1,1,male,33.8,0,2,104.48,S
115,0,3,male,42.5,0,2,19.36,S
116,1,1,female,25.5,1,1,156.23,S
117,1,2,female,38.3,0,0,35.49,Q
118,1,1,female,27.3,3,0,74.25,S
119,0,1,male,29.4,0,1,58.63,C
120,0,1,male,42.6,0,0,48.87,S
121,0,1,male,3.1,0,0,41.44,S
122,1,1,female,12.8,0,1,53.89,C
123,0,1,male,10.2,1,0,82.53,S
124,0,3,male,1.0,3,0,4.0,C
125,0,3,male,21.5,1,2,12.59,S
126,0,2,male,41.5,0,0,24.88,S
127,0,2,male,27.0,0,0,22.89,C
128,0,3,male,33.8,0,0,18.82,S
129,0,3,male,46.2,0,0,4.0,S
130,0,3,male,49.6,1,0,10.15,S
131,0,1,male,30.0,0,1,104.19,S
132,1,1,female,50.0,0,1,91.58,Q
133,0,1,male,32.3,1,0,34.32,S
134,0,2,male,19.3,1,0,36.28,S
135,0,3,male,22.7,0,1,18.07,C
136,0,2,male,10.3,0,0,10.03,S
137,1,1,female,18.6,0,0,91.64,C
138,0,2,male,26.0,0,0,39.61,S
139,1,3,female,42.3,0,0,12.91,S
140,0,1,male,55.1,0,0,128.68,C
141,0,3,male,11.6,1,0,12.28,S
142,0,1,male,36.5,1,0,97.72,S
143,1,3,female,16.4,0,0,14.58,S
144,0,1,male,37.6,0,0,512.0,C
145,0,3,male,29.2,0,0,5.22,C
146,0,3,male,5.4,0,0,4.8,S
147,0,3,male,44.0,0,0,5.35,S
148,0,3,male,22.5,0,0,15.02,Q
149,0,3,male,23.5,0,0,21.71,S
150,0,3,male,16.0,0,0,9.98,S
